,explicit,key,mode,danceability,loudness,speechiness,energy,valence,acousticness,tempo,instrumentalness,liveness,popularidad_predicha
Song_4252,1,10,1,0.99,-38.90,0.11,0.08,0.59,0.80,90.54,0.96,0.22,62.35
Song_4253,0,10,1,0.77,-33.90,0.94,0.81,0.85,0.53,111.72,0.84,0.22,59.07
Song_4254,1,1,1,0.52,-28.84,0.46,0.37,0.53,0.78,136.54,0.27,0.73,61.47
Song_4255,1,0,0,0.39,-0.46,0.56,0.28,0.20,0.11,187.66,0.35,0.83,61.47
Song_4256,1,1,0,0.59,-36.89,0.19,0.26,0.22,0.82,85.80,0.52,0.49,63.40
Song_4257,1,6,1,0.52,-45.43,0.33,0.07,0.62,0.92,108.12,0.69,0.81,63.09
Song_4258,1,6,0,0.99,-25.48,0.70,0.98,0.10,0.53,199.22,0.74,0.16,63.10
Song_4259,0,9,1,0.49,-47.09,0.12,0.37,0.07,0.11,170.54,0.85,0.53,61.28
Song_4260,0,5,1,0.84,-3.57,0.57,0.16,0.10,0.12,113.79,0.22,0.48,61.09
Song_4261,0,4,1,0.81,-44.44,0.69,0.86,0.39,0.19,79.91,0.11,0.83,60.49
Song_4262,1,2,0,0.07,-0.60,0.00,0.72,0.35,0.19,130.10,0.18,0.92,62.62
Song_4263,0,11,1,0.09,-34.88,0.84,0.66,0.00,0.94,141.73,0.94,0.11,60.90
Song_4264,0,2,0,0.66,-11.24,0.06,0.30,0.16,0.80,96.17,0.13,0.58,61.31
Song_4265,0,10,1,0.26,-21.10,0.25,0.42,0.35,0.32,159.68,0.32,0.42,60.43
Song_4266,0,11,1,0.66,-3.99,0.96,0.84,0.43,0.82,135.75,0.20,0.48,60.16
Song_4267,0,8,0,0.14,-22.47,0.08,0.64,0.40,0.77,111.38,0.11,0.83,60.53
Song_4268,1,3,1,0.40,-25.13,0.83,0.35,0.32,0.36,100.55,0.53,0.67,61.88
Song_4269,0,8,0,0.10,-20.83,0.65,0.11,0.81,0.03,99.89,0.38,0.51,60.44
Song_4270,1,3,1,0.28,-12.81,0.60,0.90,0.42,0.01,170.58,0.73,0.56,60.48
Song_4271,1,1,1,0.09,-6.07,0.58,0.96,0.64,0.33,129.75,0.39,0.85,59.75
Song_4272,1,3,1,0.97,-43.99,0.17,0.72,0.83,0.05,99.61,0.56,0.84,62.90
Song_4273,1,5,0,0.40,-47.95,0.67,0.69,0.85,0.12,170.38,0.82,0.34,62.65
Song_4274,1,5,1,0.90,-57.94,0.95,0.54,0.86,0.25,63.05,0.53,0.11,63.70
Song_4275,0,4,0,0.97,-37.80,0.08,0.97,0.49,0.18,199.35,0.44,0.16,60.36
Song_4276,0,0,1,0.91,-9.23,0.33,0.69,0.66,0.14,184.42,0.13,0.32,60.77
Song_4277,0,2,1,0.45,-55.81,0.47,0.08,0.31,0.26,164.01,0.56,0.97,60.57
Song_4278,1,4,0,0.78,-27.69,0.23,0.09,0.86,0.74,97.30,0.10,0.93,62.83
Song_4279,0,5,1,0.15,-18.31,0.74,0.96,0.21,0.44,184.58,0.10,0.90,59.58
Song_4280,0,0,1,0.09,-9.79,0.69,0.94,0.79,0.66,174.31,0.45,0.56,60.25
Song_4281,1,8,0,0.88,-24.99,0.12,0.56,0.47,0.93,172.19,0.52,0.50,62.37
Song_4282,1,2,0,0.03,-48.82,0.57,0.21,0.30,0.00,84.55,0.75,0.25,63.42
Song_4283,1,9,0,0.97,-2.13,0.37,0.58,0.38,0.95,146.17,0.46,0.68,61.01
Song_4284,1,2,1,0.67,-54.32,0.23,0.76,0.59,0.28,186.00,0.62,0.88,63.25
Song_4285,0,10,0,0.42,-13.86,0.85,0.01,0.93,0.29,130.62,0.92,0.84,59.38
Song_4286,1,1,0,0.14,-54.81,0.05,0.82,0.10,0.63,137.22,0.94,0.76,62.60
Song_4287,1,7,1,0.72,-51.39,0.47,0.46,0.92,0.36,117.09,0.26,0.24,61.98
Song_4288,0,2,0,0.56,-6.11,0.48,0.46,0.82,0.08,153.79,0.46,0.58,60.81
Song_4289,0,5,0,0.71,-14.82,0.57,0.43,0.59,0.71,180.45,0.53,0.22,59.81
Song_4290,1,1,1,0.42,-38.07,0.20,0.69,0.13,0.18,131.46,0.45,0.80,64.04
Song_4291,0,6,0,0.07,-21.68,0.87,0.21,0.81,0.93,195.66,0.96,0.92,59.40
Song_4292,1,3,1,0.31,-32.57,0.97,0.61,0.69,0.99,116.50,0.29,0.94,62.34
Song_4293,1,8,0,0.32,-56.01,0.55,0.04,0.50,0.18,77.00,0.52,0.92,63.87
Song_4294,0,9,0,0.01,-16.73,0.26,0.81,0.89,0.75,62.04,0.13,0.28,60.18
Song_4295,0,8,1,0.01,-14.20,0.88,0.82,0.66,0.99,141.06,0.63,0.21,59.81
Song_4296,1,6,0,0.33,-7.06,0.99,0.31,0.29,0.96,173.88,0.33,0.08,63.02
Song_4297,1,11,1,0.73,-27.56,0.74,0.11,0.04,0.56,178.78,0.81,0.75,62.25
Song_4298,1,7,0,0.62,-19.61,0.33,0.75,0.76,0.31,194.92,0.13,0.96,62.16
Song_4299,0,2,0,0.24,-33.72,0.24,0.47,0.26,0.01,133.68,0.88,0.12,60.58
Song_4300,1,10,1,0.60,-40.87,0.16,0.92,0.28,0.90,89.43,0.43,0.48,63.28
Song_4301,1,4,1,0.65,-35.30,0.23,0.35,0.45,0.04,154.96,0.41,0.27,63.75
Song_4302,1,1,0,0.52,-5.29,0.23,0.84,0.75,0.58,185.01,0.76,0.73,61.21
Song_4303,1,9,0,0.52,-50.15,0.97,0.03,0.92,0.19,86.00,0.30,0.86,63.10
Song_4304,1,6,0,0.37,-45.09,0.64,0.77,0.22,0.24,108.70,0.86,0.35,62.89
Song_4305,0,7,1,0.12,-23.63,0.17,0.68,0.88,0.02,169.64,0.28,0.68,60.68
Song_4306,1,8,1,0.39,-53.02,0.49,0.53,0.60,0.04,92.85,0.73,0.40,63.30
Song_4307,1,10,0,0.35,-6.49,0.18,0.91,0.86,0.35,185.80,0.06,0.95,61.71
Song_4308,1,10,0,0.59,-57.17,0.61,0.94,0.85,0.88,177.93,0.70,0.00,62.60
Song_4309,1,6,0,0.86,-14.68,0.34,0.93,0.39,0.57,130.72,0.26,0.77,60.49
Song_4310,0,9,1,0.38,-37.58,0.20,0.60,0.68,0.54,199.68,0.73,0.04,60.75
Song_4311,0,9,0,0.71,-56.93,0.24,0.52,0.95,0.62,101.32,0.83,0.72,60.79
Song_4312,0,7,1,0.81,-9.42,0.68,0.27,0.67,0.54,190.41,0.17,0.95,61.54
Song_4313,1,11,1,0.21,-21.57,0.41,0.16,0.46,0.30,100.74,0.17,0.89,62.69
Song_4314,1,8,0,0.90,-59.47,0.51,0.56,0.37,0.88,157.24,0.75,0.12,63.52
Song_4315,0,5,1,0.07,-43.95,0.82,0.15,0.14,0.48,165.73,0.17,0.07,59.87
Song_4316,0,11,1,0.90,-38.88,0.66,0.17,1.00,0.75,151.06,0.02,0.92,60.06
Song_4317,0,11,0,0.16,-40.65,0.46,0.36,0.66,0.91,135.11,0.06,0.27,60.31
Song_4318,1,9,0,0.34,-30.10,0.95,0.19,0.28,0.00,151.37,0.03,0.18,63.28
Song_4319,1,1,0,0.61,-28.39,0.21,0.50,0.07,0.48,63.24,0.91,0.23,62.40
Song_4320,0,1,0,0.91,-36.19,0.29,0.66,0.75,0.60,183.35,0.87,0.54,59.60
Song_4321,0,3,0,0.26,-40.09,0.91,0.70,0.86,0.50,134.59,0.56,0.07,60.16
Song_4322,0,8,0,0.76,-29.74,0.85,0.53,0.43,0.90,127.79,0.51,0.03,59.99
Song_4323,1,6,0,0.71,-57.98,0.13,0.52,0.96,0.94,140.46,0.24,0.59,62.88
Song_4324,1,1,1,0.16,-21.29,0.93,0.47,0.33,0.13,139.90,0.50,0.44,62.33
Song_4325,1,7,0,0.48,-23.64,0.01,0.25,0.76,0.30,162.05,0.93,0.90,64.13
Song_4326,0,10,0,0.48,-43.25,0.82,0.65,0.26,0.26,72.24,0.57,0.56,61.12
Song_4327,0,6,0,0.30,-49.23,0.28,0.66,0.34,0.50,191.71,0.06,0.58,60.51
Song_4328,1,8,0,0.78,-55.62,0.19,0.26,0.61,0.38,191.70,0.04,0.92,63.47
Song_4329,0,7,0,0.93,-24.76,0.45,0.70,0.04,0.36,61.76,0.87,0.09,60.74
Song_4330,1,2,0,0.72,-25.87,0.90,0.86,0.21,0.53,133.38,0.22,0.46,61.24
Song_4331,0,0,1,0.97,-28.00,0.79,0.59,0.18,0.49,162.60,0.00,0.40,59.54
Song_4332,0,1,0,0.05,-0.86,0.97,0.12,0.33,0.47,99.16,0.74,0.78,60.06
Song_4333,0,1,1,0.04,-28.11,0.54,0.33,0.78,0.11,149.48,0.82,0.42,59.91
Song_4334,0,3,0,0.89,-16.69,0.51,0.09,0.91,0.54,151.84,0.29,0.48,60.03
Song_4335,1,5,1,0.90,-53.22,0.01,0.30,0.01,0.06,90.42,0.83,0.47,65.80
Song_4336,0,3,1,0.11,-42.06,0.18,0.21,0.26,0.62,89.48,0.80,0.79,61.55
Song_4337,1,8,1,0.36,-43.47,0.50,0.55,0.03,0.62,165.34,0.49,0.67,64.45
Song_4338,1,3,0,0.84,-25.44,0.75,0.42,0.86,0.26,159.31,0.94,0.43,61.81
Song_4339,1,5,0,0.13,-40.15,0.82,0.72,0.20,0.14,180.84,0.84,0.07,62.39
Song_4340,0,5,0,0.27,-21.54,0.28,0.36,0.77,0.80,183.76,0.03,0.83,60.19
Song_4341,1,9,0,0.68,-18.59,0.71,0.15,0.03,0.77,82.12,0.90,0.99,61.47
Song_4342,1,10,0,0.98,-57.98,0.83,0.24,0.40,0.95,172.44,0.54,0.74,63.88
Song_4343,1,9,0,0.80,-21.61,0.37,0.55,0.36,0.45,152.96,0.47,0.43,62.53
Song_4344,0,0,1,0.78,-52.99,0.70,0.45,0.33,0.32,150.28,0.96,0.39,59.87
Song_4345,0,7,1,0.34,-32.09,0.44,0.04,0.57,0.30,97.84,0.28,0.60,60.05
Song_4346,1,11,1,0.66,-16.41,0.99,0.21,0.39,0.18,176.07,0.44,0.21,60.30
Song_4347,0,2,0,0.11,-17.80,0.01,0.30,0.40,0.35,198.59,0.18,0.16,61.12
Song_4348,1,5,0,0.99,-42.01,0.41,0.73,0.19,0.13,82.81,0.87,0.11,63.21
Song_4349,1,2,1,0.48,-43.66,0.26,0.73,0.41,0.87,163.57,0.07,0.97,62.53
Song_4350,0,10,0,0.64,-33.59,0.85,0.70,0.74,0.35,113.17,0.02,0.66,59.25
Song_4351,1,1,0,0.88,-48.68,0.29,0.82,0.32,0.55,86.31,0.15,0.56,62.31
Song_4352,0,4,0,0.00,-1.52,0.54,0.87,0.86,0.07,79.38,0.63,0.88,60.60
Song_4353,0,0,1,0.98,-39.30,0.74,0.07,0.17,0.28,89.22,0.12,0.33,61.47
Song_4354,1,8,1,0.36,-4.62,0.50,0.49,0.85,0.22,179.23,0.92,0.51,60.34
Song_4355,0,10,0,0.34,-5.50,0.41,0.15,0.62,0.89,136.72,0.68,0.14,60.34
Song_4356,0,6,1,0.15,-38.11,0.04,0.35,0.42,0.18,184.87,0.68,0.61,61.05
Song_4357,1,2,1,0.86,-44.75,0.02,0.66,0.04,0.80,187.25,0.97,0.90,64.21
Song_4358,1,3,0,0.87,-13.75,0.96,0.60,0.13,0.28,81.09,0.06,0.75,60.28
Song_4359,0,5,0,0.02,-46.24,0.64,0.13,0.41,0.21,148.01,0.65,0.57,61.51
Song_4360,0,2,1,0.06,-28.73,0.83,0.76,0.88,0.01,67.17,0.90,0.52,59.87
Song_4361,1,11,1,0.92,-53.36,0.48,0.79,0.96,0.29,98.33,0.62,0.60,62.22
Song_4362,0,6,0,0.12,-36.84,0.26,0.14,0.93,0.07,84.26,0.46,0.63,60.81
Song_4363,0,5,0,0.62,-55.31,0.29,0.62,0.27,0.36,177.42,0.02,0.61,60.74
Song_4364,0,8,0,0.62,-42.99,0.04,0.95,0.26,0.05,111.07,0.17,0.47,61.99
Song_4365,0,11,1,0.87,-20.08,0.79,0.09,0.74,0.06,199.08,0.92,0.63,59.33
Song_4366,0,4,1,0.57,-0.52,0.58,0.16,0.94,0.35,79.78,0.98,0.52,61.68
Song_4367,0,3,0,0.43,-44.71,0.48,0.77,0.13,0.45,91.97,0.49,0.42,60.80
Song_4368,0,2,0,0.97,-31.60,0.85,0.34,0.38,0.33,150.29,0.90,0.52,59.68
Song_4369,1,9,0,0.23,-33.12,0.44,0.96,0.84,0.02,195.62,0.48,0.82,62.40
Song_4370,1,0,0,0.26,-48.95,0.95,0.62,0.49,0.18,162.68,0.16,0.91,62.41
Song_4371,1,2,1,0.08,-23.40,0.01,0.48,0.84,0.94,77.61,0.09,0.64,64.34
Song_4372,1,2,0,0.98,-16.52,0.98,0.34,0.12,0.57,118.04,0.83,0.86,60.58
Song_4373,1,6,0,0.71,-51.17,0.82,0.24,0.78,0.85,199.46,0.94,0.00,62.84
Song_4374,0,6,1,0.01,-14.57,0.35,0.65,0.39,0.05,69.72,0.41,0.94,60.72
Song_4375,0,11,0,0.70,-17.99,0.60,0.59,0.69,0.01,99.95,0.13,0.01,61.09
Song_4376,0,0,1,0.40,-48.16,0.86,0.36,0.29,0.78,77.42,0.85,0.94,59.99
Song_4377,0,2,1,0.97,-21.06,0.48,0.92,0.69,0.38,174.86,0.34,0.18,59.83
Song_4378,1,7,1,0.28,-36.38,0.05,0.76,0.70,0.37,176.71,0.49,0.09,63.84
Song_4379,0,8,0,0.71,-19.13,0.90,0.26,0.42,0.24,108.11,0.99,0.89,59.27
Song_4380,0,6,1,0.63,-30.23,0.52,0.94,0.97,0.16,107.03,0.68,0.02,59.57
Song_4381,1,6,0,0.01,-57.11,0.55,0.76,0.00,0.83,173.88,0.72,0.83,64.42
Song_4382,0,11,1,0.89,-12.78,0.01,0.90,0.67,0.06,82.07,0.28,0.20,61.78
Song_4383,0,10,1,0.14,-26.66,0.10,0.14,0.91,0.50,175.09,0.26,0.40,60.80
Song_4384,1,7,1,0.66,-16.51,0.78,0.03,0.86,0.36,73.54,0.29,0.01,59.88
Song_4385,0,5,0,0.78,-52.44,0.43,0.49,0.56,0.28,101.26,0.60,0.97,60.34
Song_4386,0,10,0,0.63,-16.72,1.00,0.45,0.90,0.76,130.53,0.94,0.44,59.15
Song_4387,0,2,1,0.10,-35.18,0.70,0.87,0.11,0.88,76.90,0.69,0.43,60.32
Song_4388,0,0,0,0.98,-12.04,0.95,0.17,0.54,0.19,70.45,0.29,0.02,61.36
Song_4389,0,6,1,0.24,-24.05,0.28,0.02,0.98,0.08,97.80,0.64,0.19,60.48
Song_4390,1,0,1,0.63,-38.71,0.18,0.53,0.99,0.38,142.07,0.14,0.20,62.91
Song_4391,1,0,1,0.80,-47.88,0.38,0.18,0.68,0.44,173.86,0.43,0.01,63.17
Song_4392,1,8,1,0.94,-11.04,0.26,0.05,0.17,0.05,162.54,0.89,0.17,62.12
Song_4393,1,9,0,0.60,-26.39,0.61,0.02,0.11,0.47,136.65,0.25,0.94,62.90
Song_4394,1,6,1,0.26,-0.75,0.74,0.14,0.92,0.95,152.56,0.56,0.58,61.67
Song_4395,1,10,0,0.84,-37.59,0.40,0.38,0.88,0.39,135.24,0.08,0.02,62.30
Song_4396,0,3,1,0.16,-18.86,0.09,0.88,0.32,0.90,135.76,0.09,0.22,60.90
Song_4397,1,5,1,0.02,-22.63,0.03,0.76,0.93,0.85,62.24,0.07,0.41,64.00
Song_4398,1,0,1,0.91,-21.75,0.22,0.53,0.13,0.44,113.63,0.21,0.17,63.58
Song_4399,0,6,1,0.58,-15.78,0.73,0.43,0.29,0.71,138.23,0.46,0.16,59.33
Song_4400,0,11,1,0.07,-51.65,0.22,0.46,0.64,0.21,143.20,0.91,0.96,60.06
Song_4401,1,5,0,0.58,-27.02,0.91,0.88,0.17,0.14,131.08,0.35,0.99,61.80
Song_4402,0,3,0,0.15,-29.45,0.65,0.72,0.99,0.00,157.75,0.63,0.62,60.81
Song_4403,1,6,1,0.03,-39.45,0.86,0.17,0.22,0.07,111.56,0.56,0.87,63.67
Song_4404,0,2,0,0.12,-33.83,0.39,0.94,0.25,0.63,80.01,0.15,0.44,60.31
Song_4405,1,0,0,0.78,-28.87,0.98,0.77,0.47,0.89,64.47,0.47,0.01,62.10
Song_4406,0,3,1,0.76,-40.74,0.68,0.03,0.78,0.98,139.80,0.14,0.58,59.96
Song_4407,0,2,1,0.60,-42.41,0.36,0.50,0.12,0.48,129.61,0.31,0.17,61.29
Song_4408,1,0,1,0.21,-15.70,0.21,0.65,0.67,0.14,93.03,0.10,0.58,61.09
Song_4409,1,1,1,0.74,-55.98,0.87,0.06,0.10,0.00,91.01,0.22,0.89,63.55
Song_4410,1,10,0,0.41,-41.22,0.32,0.35,0.09,0.98,141.39,0.37,0.75,63.81
Song_4411,1,4,0,0.51,-20.78,0.04,0.65,0.04,0.82,74.96,0.62,0.26,63.24
Song_4412,1,7,0,0.90,-47.47,0.28,0.82,0.54,0.52,79.03,0.14,0.81,62.20
Song_4413,0,0,0,0.46,-25.66,0.18,0.98,0.44,0.25,94.83,0.59,0.71,61.20
Song_4414,1,3,1,0.63,-41.87,0.32,0.12,0.31,0.52,183.85,0.24,0.94,63.77
Song_4415,1,3,1,0.96,-9.40,0.61,0.63,0.53,0.84,158.72,0.07,0.62,61.26
Song_4416,0,4,1,0.45,-39.00,0.50,0.89,0.50,0.56,138.05,0.92,0.98,59.15
Song_4417,0,6,1,0.56,-46.23,0.71,0.72,0.47,1.00,111.68,0.05,0.53,60.19
Song_4418,1,11,0,0.58,-28.19,0.33,0.63,0.17,0.11,118.46,0.84,0.53,62.67
Song_4419,0,7,0,0.24,-51.86,0.12,0.21,0.90,0.98,84.07,0.72,0.02,60.86
Song_4420,0,5,1,0.74,-12.15,0.16,0.82,0.62,0.58,177.68,0.29,0.94,60.63
Song_4421,1,0,0,0.73,-19.20,0.80,0.56,0.13,0.57,85.47,0.72,0.43,60.26
Song_4422,0,6,0,0.21,-13.77,0.10,0.11,0.26,0.36,166.49,0.26,0.87,61.02
Song_4423,0,2,1,0.01,-36.07,0.80,0.94,0.76,0.04,93.53,0.79,0.39,60.04
Song_4424,1,5,0,1.00,-9.90,0.21,0.99,0.78,0.76,165.93,0.10,0.93,60.71
Song_4425,1,7,1,0.58,-30.39,0.68,0.54,0.73,0.28,102.56,0.03,0.95,61.81
Song_4426,0,6,0,0.18,-54.32,0.62,0.78,0.79,0.35,197.38,0.14,0.02,60.44
Song_4427,0,9,0,0.28,-46.56,0.10,0.58,0.60,0.53,188.79,0.72,0.71,60.83
Song_4428,1,5,1,0.62,-17.34,0.67,0.42,0.29,0.06,182.68,0.97,0.03,61.15
Song_4429,0,8,1,0.14,-6.21,0.45,0.41,0.36,0.01,85.36,0.65,0.10,61.43
Song_4430,0,8,1,0.04,-54.29,0.71,0.96,0.51,0.10,71.74,0.88,0.04,61.01
Song_4431,0,0,0,0.80,-8.15,0.84,0.37,0.25,0.74,194.98,0.03,0.03,61.72
Song_4432,1,0,1,0.72,-12.06,0.04,0.49,0.85,0.19,121.00,0.41,0.41,62.08
Song_4433,0,0,0,0.31,-38.61,0.65,0.25,0.75,0.51,182.61,0.58,0.45,60.44
Song_4434,0,7,1,0.06,-18.64,0.10,0.25,0.98,0.19,128.17,0.41,0.47,60.87
Song_4435,1,11,0,0.49,-48.78,0.38,0.36,0.42,0.28,150.88,0.71,0.16,62.94
Song_4436,0,11,1,0.28,-11.20,0.01,0.92,0.87,0.04,165.76,0.22,0.27,61.57
Song_4437,0,9,1,0.40,-20.56,0.33,0.40,0.78,0.37,134.86,0.26,0.75,59.93
Song_4438,1,6,0,0.27,-33.67,0.17,0.55,0.83,0.14,191.19,0.51,0.35,63.38
Song_4439,1,2,0,0.18,-8.13,0.56,0.55,0.69,0.56,66.72,0.66,0.26,60.36
Song_4440,1,1,1,0.39,-51.65,0.51,0.58,0.35,0.84,176.89,0.13,0.34,63.04
Song_4441,1,3,0,0.96,-9.25,0.79,0.82,0.24,0.88,156.29,0.30,0.89,60.78
Song_4442,0,2,1,0.27,-58.57,0.64,0.90,0.27,0.93,106.29,0.28,0.89,60.58
Song_4443,0,6,0,0.34,-14.81,0.71,0.21,0.57,0.12,125.83,0.48,0.44,60.18
Song_4444,1,9,0,0.33,-25.60,0.09,0.86,0.88,0.52,126.06,0.96,0.86,62.31
Song_4445,1,7,1,0.48,-18.20,0.03,0.55,0.45,0.11,66.03,0.39,0.37,64.27
Song_4446,0,5,1,0.84,-35.26,0.97,0.92,0.60,0.31,134.93,0.86,0.08,59.33
Song_4447,1,2,0,0.40,-8.13,0.43,0.92,0.73,0.23,69.25,0.40,0.45,60.65
Song_4448,0,5,0,0.81,-41.21,0.39,0.39,0.86,0.01,132.25,0.32,0.91,61.07
Song_4449,1,1,0,0.12,-43.50,0.04,0.65,0.65,0.93,90.12,0.09,0.07,63.78
Song_4450,0,11,0,0.89,-41.89,0.12,0.87,0.63,0.78,176.71,0.71,0.25,60.43
Song_4451,1,6,1,0.19,-13.54,0.94,0.38,0.99,0.52,69.72,0.29,0.05,59.77
Song_4452,1,10,1,0.04,-30.28,0.69,0.04,0.86,0.34,101.30,0.70,0.76,61.79
Song_4453,0,9,0,0.16,-27.77,0.41,0.36,0.73,0.41,117.20,0.37,0.81,60.02
Song_4454,1,6,1,0.19,-10.10,0.90,0.37,0.83,0.21,144.30,0.02,0.89,60.31
Song_4455,0,3,0,0.51,-10.00,0.59,0.81,1.00,0.97,198.25,0.16,0.08,60.68
Song_4456,0,7,0,0.45,-50.30,0.75,0.31,0.51,0.29,78.11,0.78,0.65,60.89
Song_4457,0,3,0,0.72,-27.01,0.43,0.89,0.71,0.07,112.19,0.22,0.53,60.30
Song_4458,0,6,1,0.05,-52.44,0.43,0.55,0.81,0.56,155.35,0.23,0.26,60.20
Song_4459,0,3,0,0.50,-7.89,0.07,0.59,0.44,0.75,112.33,0.33,0.68,61.21
Song_4460,1,11,1,0.33,-9.78,0.73,0.81,0.95,0.97,93.71,0.18,0.02,61.75
Song_4461,1,4,1,0.63,-9.04,0.10,0.13,0.38,0.62,174.09,0.54,0.13,62.64
Song_4462,0,6,0,0.04,-17.71,0.76,0.02,0.24,0.18,86.23,0.51,0.91,60.11
Song_4463,1,9,1,0.03,-31.99,0.19,0.06,0.68,0.39,107.11,0.63,0.64,63.24
Song_4464,0,2,0,0.43,-35.72,0.25,0.03,0.08,0.32,93.67,0.97,0.11,60.30
Song_4465,1,9,0,0.81,-36.29,0.92,0.70,0.13,0.02,194.49,0.12,0.66,63.33
Song_4466,1,4,1,0.67,-56.03,0.47,0.24,0.97,0.39,177.08,0.38,0.26,63.13
Song_4467,1,10,0,0.02,-3.07,0.13,0.86,0.28,0.80,124.54,0.50,0.34,62.03
Song_4468,1,2,1,0.18,-32.98,0.91,0.88,0.03,0.41,177.62,0.90,0.11,62.89
Song_4469,0,4,1,0.23,-4.19,0.45,0.36,0.47,0.85,155.57,0.63,0.73,60.05
Song_4470,0,2,1,0.42,-7.24,0.13,0.19,0.87,0.74,109.97,0.42,0.29,61.52
Song_4471,1,10,0,0.59,-10.28,0.39,0.50,0.33,0.72,89.31,0.05,0.16,60.91
Song_4472,1,9,1,0.22,-24.70,0.59,0.82,0.42,0.38,110.48,0.76,0.98,61.74
Song_4473,0,10,0,0.38,-53.91,0.36,0.68,0.16,0.05,132.55,0.56,0.17,61.72
Song_4474,1,6,0,0.58,-40.57,0.92,0.03,0.35,0.88,88.00,0.68,0.62,63.24
Song_4475,0,0,1,0.38,-23.78,0.27,0.01,0.97,0.64,98.29,0.32,0.13,60.35
Song_4476,0,8,1,0.14,-59.19,0.18,0.11,0.88,0.09,150.55,0.26,0.96,61.15
Song_4477,0,8,0,0.49,-57.44,0.22,0.34,0.74,0.08,161.40,0.63,0.46,61.68
Song_4478,1,4,1,0.32,-19.34,0.08,0.54,0.79,0.61,123.85,0.42,0.61,63.74
Song_4479,0,8,1,0.86,-6.71,0.45,0.82,0.67,0.42,195.74,0.35,0.06,60.79
Song_4480,1,9,1,0.78,-8.69,0.88,0.14,0.12,0.19,102.71,0.21,0.95,61.46
Song_4481,0,5,0,0.19,-49.91,0.31,0.15,0.12,0.24,187.63,0.41,0.66,61.75
Song_4482,1,4,1,0.15,-5.33,0.26,0.86,0.54,0.39,98.40,0.93,0.14,60.72
Song_4483,1,2,0,0.35,-18.22,0.84,0.92,0.60,0.75,162.99,0.11,0.53,60.54
Song_4484,1,10,0,0.41,-17.02,0.31,0.55,0.97,0.20,199.77,0.16,0.83,61.48
Song_4485,0,10,1,0.93,-41.76,0.48,0.78,0.45,0.70,176.70,0.61,0.75,59.82
Song_4486,0,7,1,0.30,-17.04,0.03,0.34,0.92,0.18,126.54,0.24,0.92,61.63
Song_4487,1,3,0,0.87,-17.41,0.29,0.95,0.99,0.76,77.44,0.87,0.95,60.30
Song_4488,1,9,0,0.51,-24.32,0.13,0.90,0.84,0.90,195.28,0.85,0.03,62.15
Song_4489,1,2,1,0.89,-38.56,0.11,0.85,0.40,0.44,160.90,0.42,0.64,62.19
Song_4490,0,5,0,0.70,-11.34,0.43,0.01,0.75,0.64,177.32,0.68,0.06,60.20
Song_4491,0,7,1,0.71,-3.75,0.28,0.52,0.55,0.27,140.19,0.78,0.01,61.75
Song_4492,0,8,0,0.52,-7.81,0.17,0.03,0.20,0.93,126.97,0.33,0.08,62.24
Song_4493,0,5,1,0.84,-45.42,0.51,0.68,0.13,0.43,70.98,0.32,0.99,60.14
Song_4494,1,4,0,0.25,-33.26,0.78,0.18,0.07,0.50,68.67,0.00,0.00,62.62
Song_4495,1,11,1,0.91,-39.46,0.73,0.64,0.33,0.26,141.49,0.23,0.66,61.99
Song_4496,0,10,1,0.64,-17.55,0.25,0.10,0.69,0.19,86.43,0.68,0.61,60.08
Song_4497,0,1,0,0.44,-10.11,0.26,0.76,0.91,0.23,154.49,0.44,0.79,60.66
Song_4498,1,1,1,0.98,-47.05,0.73,0.73,0.32,0.48,194.00,0.63,0.67,62.00
Song_4499,0,8,0,0.86,-3.16,0.56,0.00,0.53,0.14,109.82,0.23,0.94,62.26
Song_4500,0,1,0,0.77,-19.36,0.74,0.79,0.47,0.39,163.17,0.61,0.85,59.78
Song_4501,0,1,0,0.27,-46.89,0.00,0.16,0.11,0.38,187.59,0.24,0.28,61.33
Song_4502,0,2,0,0.97,-37.73,0.09,0.11,0.76,0.43,178.11,0.71,0.88,59.58
Song_4503,0,2,1,0.74,-53.72,0.80,0.50,0.52,0.42,71.75,0.16,0.28,59.49
Song_4504,0,3,0,0.61,-24.18,0.85,0.59,0.92,0.27,154.83,0.29,0.66,59.53
Song_4505,1,6,0,0.92,-49.85,0.34,0.10,0.84,0.37,102.36,0.21,0.25,63.93
Song_4506,0,8,0,0.16,-18.41,0.96,0.30,0.28,0.90,186.40,0.03,0.94,59.64
Song_4507,0,1,1,0.14,-15.77,0.30,0.41,0.31,0.04,83.91,0.91,0.71,60.33
Song_4508,1,3,0,0.56,-31.24,0.89,0.94,0.54,0.09,91.14,0.08,0.48,61.77
Song_4509,1,8,1,0.06,-54.37,0.42,0.25,0.13,0.93,128.87,0.42,0.80,63.29
Song_4510,1,1,1,0.66,-23.35,0.56,0.26,0.25,0.27,106.27,0.35,0.03,62.46
Song_4511,0,9,0,0.24,-37.67,0.64,0.66,0.82,0.30,110.32,0.18,0.64,59.71
Song_4512,1,10,1,0.12,-3.02,0.13,0.73,0.15,0.34,119.43,0.44,0.03,62.23
Song_4513,0,0,0,0.41,-29.21,0.04,0.01,0.55,0.10,80.13,0.50,0.23,61.08
Song_4514,0,9,1,0.47,-55.66,0.43,0.13,0.39,0.77,73.43,0.27,0.31,60.65
